HENRIETTA,86000,9/11/2015
HENRIETTA,221270,9/11/2015
IRONDEQUOIT,95488,9/11/2015
IRONDEQUOIT,92500,9/11/2015
IRONDEQUOIT,350000,9/11/2015
MENDON,265000,9/11/2015
OGDEN,130000,9/11/2015
OGDEN,65000,9/11/2015
PARMA,120000,9/11/2015
PENFIELD,275605,9/11/2015
PENFIELD,115000,9/11/2015
PERINTON,225000,9/11/2015
PITTSFORD,312000,9/11/2015
PITTSFORD,200000,9/11/2015
PITTSFORD,254000,9/11/2015
ROCHESTER,114500,9/11/2015
ROCHESTER,135000,9/11/2015
ROCHESTER,12000,9/11/2015
ROCHESTER,190000,9/11/2015
ROCHESTER,36309,9/11/2015
ROCHESTER,6900,9/11/2015
ROCHESTER,45000,9/11/2015
ROCHESTER,98900,9/11/2015
ROCHESTER,64000,9/11/2015
ROCHESTER,75000,9/11/2015
ROCHESTER,65000,9/11/2015
ROCHESTER,88000,9/11/2015
ROCHESTER,305000,9/11/2015
ROCHESTER,185000,9/11/2015
ROCHESTER,28500,9/11/2015
ROCHESTER,69900,9/11/2015
ROCHESTER,177500,9/11/2015
ROCHESTER,70000,9/11/2015
ROCHESTER,109550,9/11/2015
SWEDEN,20000,9/11/2015
WEBSTER,142500,9/11/2015
WEBSTER,160000,9/11/2015
WHEATLAND,127000,9/11/2015
BRIGHTON,234900,9/10/2015
CHILI,141500,9/10/2015
CLARKSON,140000,9/10/2015
EROCHESTER,115000,9/10/2015
EROCHESTER,43500,9/10/2015
GATES,126500,9/10/2015
GREECE,140000,9/10/2015
GREECE,49000,9/10/2015
GREECE,36000,9/10/2015
GREECE,124900,9/10/2015
GREECE,115000,9/10/2015
GREECE,88000,9/10/2015
GREECE,129000,9/10/2015
GREECE,115000,9/10/2015
HENRIETTA,165000,9/10/2015
HENRIETTA,130001,9/10/2015
HENRIETTA,214900,9/10/2015
HENRIETTA,314900,9/10/2015
HENRIETTA,365000,9/10/2015
IRONDEQUOIT,72000,9/10/2015
MENDON,218500,9/10/2015
OGDEN,185000,9/10/2015
PARMA,125000,9/10/2015
PENFIELD,110000,9/10/2015
PENFIELD,445881,9/10/2015
PENFIELD,162000,9/10/2015
PERINTON,239000,9/10/2015
PERINTON,189900,9/10/2015
PITTSFORD,390000,9/10/2015
PITTSFORD,200000,9/10/2015
RIGA,184900,9/10/2015
ROCHESTER,180000,9/10/2015
ROCHESTER,171000,9/10/2015
ROCHESTER,190000,9/10/2015
ROCHESTER,50000,9/10/2015
ROCHESTER,39900,9/10/2015
ROCHESTER,63000,9/10/2015
ROCHESTER,180000,9/10/2015
ROCHESTER,101900,9/10/2015
ROCHESTER,50000,9/10/2015
ROCHESTER,55813,9/10/2015
ROCHESTER,9500,9/10/2015
ROCHESTER,77000,9/10/2015
ROCHESTER,16000,9/10/2015
ROCHESTER,42000,9/10/2015
ROCHESTER,70680,9/10/2015
WEBSTER,383000,9/10/2015
WHEATLAND,114500,9/10/2015
BRIGHTON,116000,9/9/2015
BRIGHTON,192000,9/9/2015
CHILI,72000,9/9/2015
CHILI,135000,9/9/2015
CHILI,140000,9/9/2015
EROCHESTER,106400,9/9/2015
GATES,108000,9/9/2015
GATES,146900,9/9/2015
GREECE,79468,9/9/2015
GREECE,110000,9/9/2015
GREECE,125000,9/9/2015
GREECE,138251,9/9/2015
GREECE,375000,9/9/2015
HENRIETTA,145000,9/9/2015
HENRIETTA,156000,9/9/2015
HENRIETTA,139900,9/9/2015
IRONDEQUOIT,98500,9/9/2015
IRONDEQUOIT,140000,9/9/2015
IRONDEQUOIT,52000,9/9/2015
MENDON,250500,9/9/2015
OGDEN,147000,9/9/2015
PENFIELD,89900,9/9/2015
PENFIELD,335000,9/9/2015
PERINTON,145431,9/9/2015
PERINTON,239000,9/9/2015
PERINTON,104000,9/9/2015
PITTSFORD,243000,9/9/2015
ROCHESTER,74468,9/9/2015
ROCHESTER,47000,9/9/2015
ROCHESTER,16180,9/9/2015
ROCHESTER,94000,9/9/2015
ROCHESTER,80000,9/9/2015
ROCHESTER,58000,9/9/2015
ROCHESTER,60000,9/9/2015
ROCHESTER,120000,9/9/2015
ROCHESTER,48000,9/9/2015
ROCHESTER,20142,9/9/2015
SWEDEN,149900,9/9/2015
SWEDEN,128000,9/9/2015
SWEDEN,150000,9/9/2015
SWEDEN,210000,9/9/2015
WEBSTER,240500,9/9/2015
BRIGHTON,299900,9/8/2015
CHILI,134900,9/8/2015
CHILI,133000,9/8/2015
CLARKSON,183485,9/8/2015
CLARKSON,140000,9/8/2015
GATES,50000,9/8/2015
GATES,116000,9/8/2015
GATES,107000,9/8/2015
GATES,92000,9/8/2015
GREECE,250000,9/8/2015
GREECE,192000,9/8/2015
GREECE,136600,9/8/2015
GREECE,149900,9/8/2015
GREECE,153748,9/8/2015
GREECE,95000,9/8/2015
GREECE,107000,9/8/2015
GREECE,102000,9/8/2015
GREECE,90000,9/8/2015
GREECE,22500,9/8/2015
GREECE,120166,9/8/2015
HAMLIN,150900,9/8/2015
HAMLIN,117000,9/8/2015
HENRIETTA,259900,9/8/2015
HENRIETTA,116600,9/8/2015
HENRIETTA,76500,9/8/2015
HENRIETTA,130000,9/8/2015
IRONDEQUOIT,80000,9/8/2015
IRONDEQUOIT,80000,9/8/2015
IRONDEQUOIT,119000,9/8/2015
IRONDEQUOIT,109900,9/8/2015
IRONDEQUOIT,160000,9/8/2015
OGDEN,140000,9/8/2015
OGDEN,154000,9/8/2015
PARMA,137500,9/8/2015
PARMA,134000,9/8/2015
PENFIELD,379188,9/8/2015
PENFIELD,182500,9/8/2015
PENFIELD,261900,9/8/2015
PENFIELD,550000,9/8/2015
PERINTON,138000,9/8/2015
PERINTON,419900,9/8/2015
PERINTON,289900,9/8/2015
PITTSFORD,275000,9/8/2015
PITTSFORD,175000,9/8/2015
RIGA,199000,9/8/2015
ROCHESTER,45000,9/8/2015
ROCHESTER,19850,9/8/2015
ROCHESTER,71900,9/8/2015
ROCHESTER,140000,9/8/2015
ROCHESTER,40258,9/8/2015
ROCHESTER,102038,9/8/2015
ROCHESTER,89000,9/8/2015
RUSH,110000,9/8/2015
SWEDEN,63640,9/8/2015
WEBSTER,50000,9/8/2015
WEBSTER,112000,9/8/2015
WEBSTER,235000,9/8/2015
BRIGHTON,213900,9/4/2015
CLARKSON,155500,9/4/2015
CLARKSON,226000,9/4/2015
EROCHESTER,55250,9/4/2015
GATES,164471,9/4/2015
GATES,117900,9/4/2015
GATES,104000,9/4/2015
GATES,500,9/4/2015
GATES,100000,9/4/2015
GREECE,90000,9/4/2015
GREECE,169000,9/4/2015
GREECE,114800,9/4/2015
GREECE,72450,9/4/2015
GREECE,125000,9/4/2015
GREECE,135000,9/4/2015
GREECE,128750,9/4/2015
GREECE,197312,9/4/2015
HAMLIN,127500,9/4/2015
HAMLIN,160000,9/4/2015
HAMLIN,109537,9/4/2015
HENRIETTA,125000,9/4/2015
HENRIETTA,140000,9/4/2015
IRONDEQUOIT,142000,9/4/2015
IRONDEQUOIT,147328,9/4/2015
IRONDEQUOIT,108000,9/4/2015
IRONDEQUOIT,129900,9/4/2015
IRONDEQUOIT,59100,9/4/2015
IRONDEQUOIT,63000,9/4/2015
IRONDEQUOIT,110500,9/4/2015
IRONDEQUOIT,122500,9/4/2015
IRONDEQUOIT,60000,9/4/2015
IRONDEQUOIT,113000,9/4/2015
IRONDEQUOIT,106000,9/4/2015
OGDEN,173500,9/4/2015
OGDEN,240000,9/4/2015
OGDEN,391000,9/4/2015
PARMA,220000,9/4/2015
PARMA,125000,9/4/2015
PARMA,269900,9/4/2015
PARMA,235000,9/4/2015
PARMA,95000,9/4/2015
PENFIELD,195000,9/4/2015
PENFIELD,187000,9/4/2015
PENFIELD,290000,9/4/2015
PENFIELD,90000,9/4/2015
PENFIELD,295000,9/4/2015
PERINTON,315000,9/4/2015
PERINTON,120000,9/4/2015
PERINTON,81000,9/4/2015
PERINTON,280000,9/4/2015
PERINTON,280000,9/4/2015
PERINTON,335000,9/4/2015
PERINTON,152000,9/4/2015
PERINTON,160000,9/4/2015
PERINTON,167000,9/4/2015
PERINTON,228000,9/4/2015
PERINTON,234800,9/4/2015
PITTSFORD,300000,9/4/2015
PITTSFORD,204000,9/4/2015
PITTSFORD,220000,9/4/2015
ROCHESTER,76500,9/4/2015
ROCHESTER,30500,9/4/2015
ROCHESTER,67120,9/4/2015
ROCHESTER,5457,9/4/2015
ROCHESTER,36000,9/4/2015
ROCHESTER,38600,9/4/2015
ROCHESTER,47600,9/4/2015
ROCHESTER,238000,9/4/2015
ROCHESTER,55700,9/4/2015
ROCHESTER,29600,9/4/2015
ROCHESTER,36120,9/4/2015
ROCHESTER,191800,9/4/2015
ROCHESTER,28500,9/4/2015
ROCHESTER,10000,9/4/2015
ROCHESTER,53000,9/4/2015
ROCHESTER,80000,9/4/2015
ROCHESTER,135000,9/4/2015
ROCHESTER,71900,9/4/2015
ROCHESTER,7200,9/4/2015
ROCHESTER,83500,9/4/2015
ROCHESTER,10000,9/4/2015
ROCHESTER,69000,9/4/2015
ROCHESTER,153000,9/4/2015
ROCHESTER,59900,9/4/2015
ROCHESTER,82796,9/4/2015
ROCHESTER,47500,9/4/2015
ROCHESTER,47500,9/4/2015
WEBSTER,405000,9/4/2015
WEBSTER,217000,9/4/2015
WEBSTER,119900,9/4/2015
WEBSTER,289000,9/4/2015
WEBSTER,185000,9/4/2015
BRIGHTON,133000,9/3/2015
BRIGHTON,403000,9/3/2015
BRIGHTON,179000,9/3/2015
BRIGHTON,209000,9/3/2015
CHILI,117450,9/3/2015
CHILI,240000,9/3/2015
CHILI,170000,9/3/2015
CHILI,141000,9/3/2015
GREECE,143000,9/3/2015
GREECE,400000,9/3/2015
GREECE,108460,9/3/2015
GREECE,122000,9/3/2015
GREECE,185000,9/3/2015
GREECE,178765,9/3/2015
GREECE,82000,9/3/2015
GREECE,145000,9/3/2015
GREECE,129900,9/3/2015
HAMLIN,90000,9/3/2015
HAMLIN,220000,9/3/2015
HENRIETTA,154000,9/3/2015
HENRIETTA,309900,9/3/2015
HENRIETTA,97000,9/3/2015
HENRIETTA,233500,9/3/2015
IRONDEQUOIT,103000,9/3/2015
IRONDEQUOIT,135000,9/3/2015
IRONDEQUOIT,79000,9/3/2015
MENDON,216660,9/3/2015
OGDEN,85000,9/3/2015
OGDEN,130000,9/3/2015
OGDEN,130000,9/3/2015
PARMA,142400,9/3/2015
PARMA,225000,9/3/2015
PENFIELD,260602,9/3/2015
PENFIELD,225000,9/3/2015
PENFIELD,245000,9/3/2015
PENFIELD,119900,9/3/2015
PERINTON,90000,9/3/2015
PERINTON,271000,9/3/2015
PERINTON,176000,9/3/2015
PERINTON,167000,9/3/2015
PITTSFORD,140000,9/3/2015
ROCHESTER,50000,9/3/2015
ROCHESTER,16000,9/3/2015
ROCHESTER,60000,9/3/2015
ROCHESTER,30000,9/3/2015
ROCHESTER,111667,9/3/2015
ROCHESTER,124000,9/3/2015
ROCHESTER,67900,9/3/2015
ROCHESTER,72000,9/3/2015
ROCHESTER,17455,9/3/2015
ROCHESTER,15000,9/3/2015
ROCHESTER,20000,9/3/2015
RUSH,210000,9/3/2015
SWEDEN,112500,9/3/2015
WEBSTER,104900,9/3/2015
BRIGHTON,178700,9/2/2015
BRIGHTON,205500,9/2/2015
BRIGHTON,145000,9/2/2015
CHILI,159900,9/2/2015
CHILI,187500,9/2/2015
CHILI,130000,9/2/2015
EROCHESTER,125000,9/2/2015
GATES,105000,9/2/2015
GATES,97500,9/2/2015
GATES,96000,9/2/2015
GREECE,74000,9/2/2015
GREECE,151000,9/2/2015
GREECE,128500,9/2/2015
GREECE,54500,9/2/2015
GREECE,65000,9/2/2015
GREECE,10689,9/2/2015
GREECE,190500,9/2/2015
GREECE,79900,9/2/2015
HENRIETTA,186500,9/2/2015
HENRIETTA,178000,9/2/2015
HENRIETTA,128500,9/2/2015
HENRIETTA,74000,9/2/2015
HENRIETTA,211500,9/2/2015
IRONDEQUOIT,149000,9/2/2015
IRONDEQUOIT,114000,9/2/2015
IRONDEQUOIT,122000,9/2/2015
OGDEN,124500,9/2/2015
PARMA,66000,9/2/2015
PARMA,185000,9/2/2015
PENFIELD,82500,9/2/2015
PENFIELD,139900,9/2/2015
PENFIELD,280000,9/2/2015
PENFIELD,151000,9/2/2015
PERINTON,271000,9/2/2015
PERINTON,217900,9/2/2015
PITTSFORD,55000,9/2/2015
PITTSFORD,215000,9/2/2015
RIGA,105000,9/2/2015
ROCHESTER,55000,9/2/2015
ROCHESTER,187500,9/2/2015
ROCHESTER,216000,9/2/2015
ROCHESTER,16335,9/2/2015
ROCHESTER,344000,9/2/2015
ROCHESTER,12800,9/2/2015
ROCHESTER,5400,9/2/2015
ROCHESTER,170000,9/2/2015
SWEDEN,162000,9/2/2015
WEBSTER,32480,9/2/2015
WEBSTER,75000,9/2/2015
WEBSTER,179900,9/2/2015
WHEATLAND,125000,9/2/2015
BRIGHTON,192000,9/1/2015
CHILI,116000,9/1/2015
CHILI,145000,9/1/2015
CLARKSON,131000,9/1/2015
GATES,138000,9/1/2015
GATES,8000,9/1/2015
GATES,64000,9/1/2015
GREECE,110000,9/1/2015
GREECE,90000,9/1/2015
GREECE,267264,9/1/2015
GREECE,123000,9/1/2015
GREECE,51500,9/1/2015
GREECE,80000,9/1/2015
GREECE,86000,9/1/2015
GREECE,75000,9/1/2015
GREECE,114500,9/1/2015
GREECE,174900,9/1/2015
HAMLIN,85000,9/1/2015
HENRIETTA,125000,9/1/2015
HENRIETTA,153000,9/1/2015
HENRIETTA,143000,9/1/2015
HENRIETTA,125000,9/1/2015
HENRIETTA,185000,9/1/2015
MENDON,249000,9/1/2015
OGDEN,242000,9/1/2015
OGDEN,236905,9/1/2015
PARMA,107500,9/1/2015
PARMA,110000,9/1/2015
PENFIELD,336820,9/1/2015
PENFIELD,126000,9/1/2015
PENFIELD,157500,9/1/2015
PENFIELD,145000,9/1/2015
